0.00 	1.50 	0
-0.75 	1.50 	0
-0.75 	0.88 	0
-1.20 	0.88 	0
-1.20 	1.00 	0
-0.90 	1.00 	0
-0.90 	1.60 	0
-1.50 	1.60 	0
-1.50 	1.00 	0
-1.40 	1.00 	0
-1.40 	0.88 	0
-1.80 	0.88 	0
-1.80 	1.00 	0
-1.60 	1.00 	0
-1.60 	1.60 	0
-2.20 	1.60 	0
-2.20 	1.00 	0
-2.00 	1.00 	0
-2.00 	0.88 	0
-2.40 	0.88 	0
-2.40 	1.00 	0
-2.30 	1.00 	0
-2.30 	1.60 	0
-2.90 	1.60 	0
-2.90 	1.00 	0
-2.60 	1.00 	0
-2.60 	0.88 	0
-3.05 	0.88 	0
-3.05 	1.50 	0
-3.80 	1.50 	0
-3.80 	0.00 	0
-3.05 	0.00 	0
-3.05 	0.63 	0
-2.60 	0.63 	0
-2.60 	0.50 	0
-2.90 	0.50 	0
-2.90 	-0.10 	0
-2.30 	-0.10 	0
-2.30 	0.50 	0
-2.40 	0.50 	0
-2.40 	0.63 	0
-2.00 	0.63 	0
-2.00 	0.50 	0
-2.20 	0.50 	0
-2.20 	-0.10 	0
-1.60 	-0.10 	0
-1.60 	0.50 	0
-1.80 	0.50 	0
-1.80 	0.63 	0
-1.40 	0.63 	0
-1.40 	0.50 	0
-1.50 	0.50 	0
-1.50 	-0.10 	0
-0.90 	-0.10 	0
-0.90 	0.50 	0
-1.20 	0.50 	0
-1.20 	0.63 	0
-0.75 	0.63 	0
-0.75 	0.00 	0
0.00 	0.00 	0
